Sample,Sample<->Recognize,Recognize,Recognize<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.061806,0.000011,0.291826,0.000020,0.000141,0.000017,0.000002,0.353822
0.063303,0.000010,0.195457,0.000016,0.000139,0.000013,0.000002,0.258939
0.069471,0.000010,0.280250,0.000019,0.000143,0.000013,0.000002,0.349908
0.070323,0.000011,0.193538,0.000015,0.000196,0.000015,0.000002,0.264100
0.086299,0.000013,0.297433,0.000019,0.000143,0.000012,0.000041,0.383961
0.064837,0.000011,0.192821,0.000017,0.000194,0.000016,0.000002,0.257897
0.093392,0.000013,0.266904,0.000020,0.000167,0.000013,0.000001,0.360508
0.071923,0.000005,0.192944,0.000016,0.000168,0.000015,0.000002,0.265073
0.062368,0.000011,0.272109,0.000020,0.000132,0.000013,0.000002,0.334655
0.062497,0.000011,0.199618,0.000016,0.000180,0.000009,0.000001,0.262333
0.095707,0.000014,0.256933,0.000016,0.000205,0.000010,0.000001,0.352886
0.062393,0.000010,0.203975,0.000017,0.000152,0.000014,0.000002,0.266562
0.089769,0.000012,0.307728,0.000016,0.010630,0.000005,0.000001,0.408161
0.063383,0.000010,0.203714,0.000016,0.005025,0.000009,0.000001,0.272158
0.077604,0.000012,0.301216,0.000018,0.000152,0.000012,0.000002,0.379018
0.067086,0.000011,0.180968,0.000016,0.000184,0.000014,0.000002,0.248280
0.061977,0.000010,0.236574,0.000019,0.000152,0.000014,0.000002,0.298748
0.065749,0.000010,0.178661,0.000016,0.000150,0.000010,0.000002,0.244598
0.091450,0.000014,0.328159,0.000015,0.000137,0.000010,0.000001,0.419786
0.065625,0.000010,0.160479,0.000014,0.000001,0.000002,0.000001,0.226132
0.091454,0.000014,0.277354,0.000016,0.000127,0.000012,0.000002,0.368979
0.063642,0.000009,0.149095,0.000014,0.000001,0.000002,0.000001,0.212766
0.066841,0.000010,0.151556,0.000015,0.000001,0.000002,0.000001,0.218426
0.067443,0.000014,0.254563,0.000019,0.000002,0.000003,0.000001,0.322045
0.087572,0.000014,0.231778,0.000015,0.000001,0.000003,0.000001,0.319385
0.065731,0.000010,0.168141,0.000014,0.000001,0.000002,0.000001,0.233900
0.064248,0.000010,0.138351,0.000015,0.000001,0.000002,0.000001,0.202629
0.064442,0.000009,0.133714,0.000014,0.000001,0.000002,0.000001,0.198182
0.065374,0.000010,0.134848,0.000015,0.000001,0.000002,0.000001,0.200251
0.090400,0.000015,0.223770,0.000018,0.000002,0.000003,0.000002,0.314209
0.066050,0.000015,0.218452,0.000014,0.000001,0.000002,0.000001,0.284535
0.062610,0.000010,0.128417,0.000014,0.000001,0.000002,0.000001,0.191055
0.063210,0.000009,0.164371,0.000018,0.000002,0.000003,0.000001,0.227614
0.063261,0.000009,0.125138,0.000014,0.000001,0.000002,0.000001,0.188426
0.082958,0.000010,0.127225,0.000014,0.000001,0.000002,0.000001,0.210211
0.078675,0.000014,0.143397,0.000014,0.000001,0.000002,0.000001,0.222105
0.062929,0.000010,0.131232,0.000014,0.000001,0.000002,0.000001,0.194188
0.063808,0.000010,0.135829,0.000014,0.000001,0.000002,0.000001,0.199665
0.061531,0.000010,0.131235,0.000014,0.000001,0.000002,0.000001,0.192794
0.063464,0.000009,0.134295,0.000014,0.000001,0.000002,0.000001,0.197786
0.078429,0.000014,0.227922,0.000017,0.000002,0.000003,0.000002,0.306389
0.084979,0.000015,0.212377,0.000014,0.000001,0.000003,0.000001,0.297391
0.063957,0.000009,0.139525,0.000013,0.000001,0.000002,0.000001,0.203508
0.064141,0.000009,0.144495,0.000014,0.000001,0.000002,0.000001,0.208664
