Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.089385,0.005805,0.000001,0.001706,0.121358,0.002829,0.000001,0.005286,0.000001,0.002784,0.000043,0.002693,0.000001,0.004651,0.000002,0.236545
0.062252,0.004475,0.000001,0.002142,0.172607,0.002918,0.000001,0.005455,0.000001,0.001985,0.013999,0.002374,0.000001,0.004354,0.000002,0.272567
0.070203,0.005241,0.000001,0.001870,0.099467,0.003186,0.000001,0.005221,0.000001,0.009962,0.015275,0.007589,0.000001,0.003919,0.000002,0.221939
0.059509,0.004455,0.000001,0.002331,0.105036,0.003187,0.000001,0.005840,0.000001,0.002912,0.014232,0.003054,0.000001,0.005297,0.000002,0.205859
0.061897,0.005044,0.000001,0.002494,0.088046,0.002285,0.000001,0.005237,0.000001,0.003039,0.000012,0.002522,0.000001,0.006736,0.000002,0.177317
0.077420,0.005287,0.000001,0.001646,0.186126,0.003669,0.000001,0.007419,0.000001,0.003495,0.013729,0.002701,0.000001,0.008478,0.000002,0.309975
0.064900,0.004592,0.000001,0.001783,0.184754,0.003899,0.000001,0.005095,0.000001,0.002224,0.013484,0.002564,0.000001,0.004163,0.000002,0.287462
0.087716,0.004954,0.000001,0.001635,0.088201,0.002641,0.000001,0.006938,0.000001,0.001945,0.000011,0.002270,0.000001,0.003479,0.000002,0.199795
0.076081,0.004124,0.000001,0.001648,0.071820,0.003399,0.000001,0.004348,0.000001,0.002799,0.000009,0.001985,0.000001,0.003234,0.000001,0.169452
0.062170,0.006313,0.000001,0.001434,0.171476,0.003527,0.000001,0.005374,0.000001,0.001837,0.013369,0.002431,0.000001,0.004506,0.000002,0.272441
0.077425,0.006330,0.000001,0.001765,0.090881,0.002789,0.000001,0.006008,0.000001,0.002110,0.013515,0.002416,0.000001,0.003669,0.000001,0.206913
0.073898,0.003940,0.000001,0.001822,0.178039,0.002419,0.000001,0.004639,0.000001,0.002053,0.000013,0.001930,0.000001,0.003363,0.000003,0.272123
0.074380,0.004153,0.000001,0.001185,0.128004,0.002882,0.000001,0.004179,0.000001,0.001640,0.000010,0.002023,0.000001,0.002605,0.000002,0.221065
0.066323,0.003945,0.000001,0.001389,0.094890,0.002198,0.000001,0.004884,0.000001,0.001884,0.013447,0.002626,0.000001,0.003097,0.000002,0.194688
0.061823,0.004653,0.000001,0.002458,0.084538,0.002822,0.000001,0.005221,0.000001,0.001494,0.000011,0.002330,0.000001,0.004495,0.000002,0.169850
0.061444,0.004282,0.000001,0.001512,0.151252,0.002824,0.000001,0.005696,0.000001,0.002465,0.000019,0.002112,0.000001,0.004185,0.000002,0.235795
0.062110,0.004862,0.000001,0.002363,0.086866,0.002664,0.000001,0.005359,0.000001,0.002471,0.000020,0.002801,0.000001,0.004668,0.000002,0.174187
0.069876,0.004664,0.000001,0.002422,0.101782,0.003157,0.000001,0.006203,0.000001,0.009397,0.014880,0.007450,0.000001,0.004719,0.000002,0.224555
0.066537,0.004529,0.000001,0.001430,0.088813,0.002400,0.000001,0.006510,0.000001,0.010989,0.018562,0.007457,0.000001,0.004013,0.000002,0.211247
0.079404,0.005623,0.000001,0.001617,0.193888,0.004619,0.000001,0.005583,0.000001,0.009373,0.014619,0.006911,0.000001,0.004595,0.000002,0.326237
