Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.062749,2.633363,0.073116,0.002007,0.000055,2.771290
0.061648,2.604623,0.238011,0.004872,0.000033,2.909188
0.072506,2.599806,0.075073,0.004362,0.000073,2.751819
0.068944,2.639443,0.073503,0.001969,0.000065,2.783924
0.061027,2.654110,0.200651,0.004200,0.000034,2.920022
0.077939,2.608070,0.197065,0.007948,0.000039,2.891063
0.087425,2.629012,0.073093,0.009240,0.000052,2.798822
0.064773,2.632459,0.068826,0.001101,0.000042,2.767201
0.062454,2.618558,0.230175,0.001896,0.000058,2.913140
0.061223,2.617756,0.158190,0.001392,0.000041,2.838601
0.068263,2.664979,0.072019,0.000940,0.000037,2.806239
0.078623,2.638228,0.222334,0.001232,0.000044,2.940462
0.084327,2.618867,0.072220,0.001447,0.000048,2.776909
0.066381,2.644451,0.175417,0.003628,0.000043,2.889921
0.080879,2.623284,0.074475,0.006520,0.000040,2.785198
0.071524,2.640303,0.222588,0.001241,0.000063,2.935717
0.068434,2.678985,0.080389,0.001436,0.000044,2.829288
0.091360,2.615995,0.204485,0.001656,0.000061,2.913556
0.062783,2.670950,0.080616,0.002202,0.000042,2.816593
0.057879,2.659829,0.187711,0.001996,0.000045,2.907460
0.085118,2.661232,0.082726,0.002639,0.000057,2.831772
0.061586,2.641595,0.259347,0.002344,0.000096,2.964968
0.070476,2.692333,0.083162,0.002515,0.000035,2.848522
0.062241,2.649274,0.273349,0.001686,0.000044,2.986594
0.070717,2.666239,0.209525,0.002841,0.000058,2.949379
0.062725,2.716584,0.084578,0.001832,0.000043,2.865762
0.066504,2.698023,0.085013,0.002449,0.000038,2.852028
0.064051,2.697098,0.243059,0.002655,0.000058,3.006921
0.068744,2.712539,0.222365,0.002252,0.000070,3.005971
0.075907,2.740968,0.114268,0.002596,0.015857,2.949597
0.081098,2.703165,0.287046,0.002852,0.000069,3.074229
0.060727,2.801627,0.118820,0.003012,0.016945,3.001131
0.068130,2.735679,0.324035,0.002875,0.014244,3.144963
0.071577,2.807949,0.118524,0.003781,0.014641,3.016472
0.084469,2.755427,0.266389,0.004043,0.014491,3.124819
0.087306,2.750620,0.273735,0.002890,0.014637,3.129187
0.058890,2.899818,0.120104,0.002872,0.014375,3.096059
0.061262,2.879673,0.275270,0.003409,0.016028,3.235642
0.061275,2.873853,0.319398,0.009386,0.023403,3.287314
0.063222,2.884040,0.326977,0.003500,0.015114,3.292853
0.067061,3.070722,0.128160,0.004829,0.014855,3.285627
0.063595,3.171636,0.123716,0.004821,0.014367,3.378135
0.106434,2.843382,0.600143,0.004497,0.015010,3.569466
0.089197,3.236104,0.177798,0.004677,0.014858,3.522634
0.066023,3.366645,0.128738,0.004688,0.014755,3.580849
0.073719,3.269691,0.331039,0.004817,0.014561,3.693827
0.063554,3.468733,0.129752,0.004777,0.014271,3.681087
0.066232,3.515906,0.123752,0.003977,0.014247,3.724113
0.081401,3.555837,0.230188,0.003907,0.014330,3.885663
0.084800,3.509099,0.345386,0.003975,0.014327,3.957587
0.090965,3.020356,2.842723,0.005952,0.014661,5.974657
0.062891,5.463358,0.137908,0.004909,0.014641,5.683707
0.062735,5.567143,0.131505,0.004922,0.014443,5.780748
0.097982,5.629662,0.124488,0.004981,0.014607,5.871720
0.079082,5.736263,0.124687,0.004926,0.014798,5.959756
0.063259,5.846075,0.200801,0.004010,0.014796,6.128942
0.068216,3.765067,2.586577,0.003003,0.014500,6.437363
0.078584,6.001201,0.122147,0.007970,0.015066,6.224969
0.071121,6.083557,0.123499,0.004744,0.014349,6.297269
0.066207,6.144566,0.118605,0.004402,0.014626,6.348406
0.071277,6.062301,0.253752,0.008785,0.014771,6.410885
0.058907,3.780852,2.880321,0.003676,0.014376,6.738132
0.061237,6.235293,0.152103,0.003226,0.000055,6.451914
0.061737,6.260235,0.104580,0.001954,0.000051,6.428557
0.061206,6.299326,0.081124,0.002106,0.000056,6.443817
0.061528,6.228148,0.275438,0.003444,0.014800,6.583358
0.082858,6.325449,0.083004,0.001692,0.000048,6.493051
0.060463,6.289533,0.278666,0.004595,0.000039,6.633296
0.092142,6.330326,0.072010,0.009998,0.000097,6.504573
0.066506,6.365183,0.083321,0.000884,0.000034,6.515928
0.091596,6.309109,0.242238,0.002654,0.000043,6.645640
0.081565,6.398753,0.079641,0.001820,0.000039,6.561817
0.072073,6.385681,0.202307,0.000553,0.000042,6.660654
0.062876,6.427399,0.082696,0.002185,0.000034,6.575189
0.083000,6.425952,0.079028,0.001565,0.000058,6.589603
0.072609,6.401966,0.259487,0.002192,0.000034,6.736288
0.060750,6.436251,0.178533,0.001679,0.000052,6.677265
0.071222,6.482564,0.078898,0.002642,0.000093,6.635419
0.066396,6.466531,0.082402,0.002166,0.000059,6.617555
0.066768,3.014104,4.879351,0.003873,0.017476,7.981572
0.069200,6.513283,0.082365,0.008792,0.000060,6.673700
0.071661,6.469411,0.198244,0.002384,0.000068,6.741769
0.073900,6.496787,0.279906,0.004724,0.000039,6.855355
0.063356,6.537669,0.085009,0.005797,0.000074,6.691904
0.083796,6.530688,0.084655,0.001939,0.000057,6.701135
0.067578,6.533916,0.240125,0.002599,0.000035,6.844253
0.065350,6.567822,0.082451,0.001848,0.000059,6.717530
0.061990,6.512542,0.244123,0.002766,0.000038,6.821458
0.083203,6.565591,0.089412,0.003210,0.000067,6.741483
0.071310,6.512346,0.256919,0.003691,0.000068,6.844334
0.080628,6.558012,0.193817,0.002548,0.000060,6.835064
0.067443,6.601101,0.092415,0.002885,0.000035,6.763880
0.067347,6.597551,0.098307,0.003829,0.000069,6.767102
0.082563,6.531001,0.297043,0.002826,0.000083,6.913516
0.063658,6.604541,0.213346,0.003279,0.000046,6.884869
0.078842,6.649760,0.095309,0.003749,0.000032,6.827692
0.061002,6.581345,0.299176,0.003023,0.000033,6.944580
0.084135,6.641555,0.092620,0.002817,0.000035,6.821163
0.079215,6.667627,0.088213,0.002632,0.000036,6.837724
0.067178,6.680700,0.229241,0.003632,0.000038,6.980790
0.070559,6.644662,0.320392,0.008317,0.000331,7.044260
0.074552,6.730942,0.089003,0.002851,0.000064,6.897413
0.086624,6.619617,0.298696,0.002321,0.000046,7.007304
0.074337,6.719719,0.079211,0.001235,0.000049,6.874552
0.070876,6.738049,0.186844,0.001596,0.000062,6.997428
0.070420,6.739459,0.079188,0.001593,0.000035,6.890695
0.075836,6.725979,0.216303,0.001445,0.000034,7.019596
0.072066,6.749421,0.090380,0.002521,0.000063,6.914451
0.064658,6.739086,0.266768,0.001331,0.000038,7.071881
0.068908,6.762392,0.194075,0.002255,0.000037,7.027667
0.062171,6.781836,0.089761,0.003093,0.000055,6.936915
0.069153,6.765747,0.093312,0.003225,0.000035,6.931472
0.072121,6.747770,0.298316,0.003491,0.000040,7.121738
0.063490,6.831720,0.090008,0.009059,0.000047,6.994324
0.074028,6.784443,0.214852,0.003489,0.000055,7.076867
0.079030,6.795372,0.296822,0.003244,0.000042,7.174511
0.061142,6.866338,0.091017,0.003252,0.000055,7.021803
0.062235,6.853011,0.074632,0.001069,0.000032,6.990980
0.062612,6.845799,0.212389,0.003089,0.000045,7.123934
0.059337,6.897424,0.078170,0.002091,0.000053,7.037075
0.061081,6.856378,0.298081,0.004225,0.000055,7.219820
0.062076,6.910960,0.088000,0.001980,0.000031,7.063047
0.067620,6.872195,0.291282,0.004113,0.000066,7.235277
0.059652,6.925628,0.176826,0.001535,0.000034,7.163674
0.097085,6.890058,0.086878,0.004033,0.000059,7.078113
0.065205,6.913454,0.086603,0.002884,0.000041,7.068187
0.112621,6.838992,0.259696,0.003232,0.000081,7.214623
0.081376,6.952257,0.089450,0.006656,0.000052,7.129792
0.073307,6.922084,0.194664,0.013883,0.000147,7.204084
