Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.090257,0.001792,0.000000,0.002356,0.181661,0.001372,0.000000,0.000974,0.000010,0.001035,0.000001,0.279459
0.083524,0.002924,0.000001,0.002632,0.277878,0.001843,0.000000,0.000951,0.000009,0.001077,0.000001,0.370839
0.060295,0.053749,0.000001,0.002579,0.222619,0.001574,0.000000,0.001424,0.014291,0.001159,0.000001,0.357691
0.060892,0.049242,0.000001,0.002461,0.199707,0.001982,0.000000,0.001847,0.014268,0.001542,0.000001,0.331942
0.077114,0.045408,0.000000,0.002508,0.290407,0.001687,0.000000,0.001075,0.000010,0.001136,0.000001,0.419347
0.088083,0.002684,0.000000,0.002443,0.298293,0.002794,0.000002,0.006687,0.014509,0.002706,0.000001,0.418201
0.088791,0.002986,0.000001,0.002290,0.248892,0.003035,0.000001,0.002185,0.000009,0.001588,0.000001,0.349780
0.081647,0.002998,0.000001,0.002821,0.231191,0.002138,0.000001,0.001458,0.014350,0.001462,0.000001,0.338066
0.092970,0.002280,0.000001,0.002622,0.300604,0.002084,0.000000,0.001666,0.014223,0.001752,0.000001,0.418204
0.074428,0.002110,0.000001,0.002817,0.283349,0.001866,0.000000,0.002571,0.014415,0.001268,0.000001,0.382825
0.065456,0.045034,0.000000,0.002471,0.230394,0.001611,0.000000,0.001130,0.014304,0.001613,0.000001,0.362014
0.071549,0.007427,0.000000,0.002545,0.234445,0.001842,0.000000,0.001116,0.014325,0.001196,0.000001,0.334447
0.073623,0.012582,0.000000,0.002592,0.303593,0.003008,0.000001,0.003505,0.000018,0.001950,0.000001,0.400873
0.066635,0.064055,0.000002,0.004948,0.222952,0.003210,0.000001,0.004273,0.014286,0.001371,0.000001,0.381733
0.062016,0.007868,0.000001,0.002555,0.213460,0.001465,0.000000,0.001276,0.000009,0.001080,0.000000,0.289731
0.060607,0.032524,0.000001,0.002513,0.231776,0.002043,0.000000,0.000993,0.000010,0.001006,0.000001,0.331475
0.072580,0.044640,0.000001,0.002505,0.287545,0.001799,0.000000,0.001016,0.000013,0.001104,0.000001,0.411204
0.063045,0.041215,0.000001,0.002641,0.223820,0.001997,0.000000,0.001448,0.014267,0.001143,0.000001,0.349578
0.061235,0.002074,0.000002,0.002232,0.201375,0.001774,0.000000,0.000986,0.014155,0.001030,0.000001,0.284864
0.061503,0.020106,0.000000,0.002279,0.236477,0.001332,0.000000,0.000901,0.000008,0.001083,0.000001,0.323690
0.060247,0.070123,0.000001,0.002809,0.179093,0.005008,0.000001,0.001834,0.000010,0.002292,0.000001,0.321420
0.087543,0.011968,0.000001,0.003822,0.229924,0.001988,0.000001,0.001049,0.000010,0.000989,0.000001,0.337296
0.076695,0.006026,0.000001,0.002196,0.216223,0.002144,0.000001,0.001019,0.000006,0.001032,0.000001,0.305343
0.066129,0.009024,0.000000,0.002540,0.228048,0.002156,0.000000,0.001126,0.014503,0.001209,0.000001,0.324737
0.070193,0.002077,0.000001,0.002711,0.211149,0.002035,0.000001,0.001187,0.014376,0.001201,0.000001,0.304929
0.071539,0.002032,0.000001,0.002584,0.309778,0.002241,0.000001,0.001243,0.014213,0.001215,0.000001,0.404846
0.065035,0.002001,0.000001,0.002278,0.266779,0.001926,0.000000,0.001089,0.014503,0.001256,0.000001,0.354869
0.093659,0.002336,0.000001,0.002600,0.224620,0.001851,0.000000,0.001023,0.014115,0.001243,0.000001,0.341448
0.085172,0.002199,0.000001,0.002632,0.237541,0.002173,0.000001,0.001677,0.000010,0.001142,0.000001,0.332547
0.068161,0.002348,0.000001,0.002635,0.254437,0.002477,0.000000,0.001709,0.000008,0.001452,0.000001,0.333229
0.070213,0.002106,0.000001,0.002628,0.226644,0.002396,0.000000,0.001350,0.014150,0.001265,0.000001,0.320756
0.086859,0.002203,0.000001,0.002354,0.291099,0.003236,0.000001,0.003671,0.013872,0.001887,0.000001,0.405184
0.083177,0.002171,0.000001,0.002673,0.243943,0.001820,0.000001,0.001218,0.014249,0.001460,0.000001,0.350713
0.068604,0.002031,0.000001,0.002090,0.213053,0.001459,0.000001,0.001086,0.000007,0.000994,0.000001,0.289327
0.074267,0.002063,0.000001,0.002679,0.224201,0.001830,0.000000,0.001783,0.013869,0.001133,0.000000,0.321825
0.090359,0.002506,0.000000,0.002694,0.309363,0.001667,0.000000,0.001105,0.014299,0.001219,0.000001,0.423214
0.064371,0.002705,0.000001,0.002221,0.235418,0.001768,0.000000,0.001041,0.014390,0.001127,0.000000,0.323042
0.070559,0.002392,0.000001,0.002510,0.223216,0.001691,0.000001,0.001115,0.014450,0.001770,0.000001,0.317704
0.060910,0.058660,0.000001,0.003373,0.193974,0.001656,0.000000,0.001310,0.000012,0.001067,0.000001,0.320964
0.059901,0.004832,0.000001,0.002551,0.297321,0.003400,0.000001,0.002276,0.000011,0.001154,0.000001,0.371449
0.062224,0.044853,0.000001,0.002474,0.193384,0.002539,0.000000,0.001860,0.000010,0.001662,0.000001,0.309008
0.059942,0.016706,0.000000,0.002324,0.261456,0.001834,0.000000,0.000963,0.000013,0.001408,0.000001,0.344648
0.062059,0.002696,0.000001,0.002718,0.218507,0.001939,0.000000,0.001014,0.014407,0.001431,0.000001,0.304773
0.062571,0.001805,0.000001,0.002626,0.260360,0.001938,0.000000,0.001828,0.014503,0.001130,0.000001,0.346763
0.079635,0.001941,0.000000,0.002180,0.207221,0.002011,0.000000,0.001083,0.014109,0.001307,0.000001,0.309487
0.066382,0.002130,0.000001,0.002609,0.261162,0.002313,0.000000,0.001091,0.014295,0.001209,0.000001,0.351193
0.069084,0.016670,0.000000,0.001914,0.239336,0.002050,0.000000,0.001664,0.014193,0.001600,0.000001,0.346513
0.063101,0.008469,0.000001,0.002452,0.228333,0.002178,0.000000,0.001129,0.014220,0.001186,0.000001,0.321068
0.084215,0.003163,0.000001,0.002747,0.236787,0.002710,0.000000,0.001200,0.014211,0.001168,0.000000,0.346203
0.068170,0.003473,0.000001,0.002611,0.228113,0.001985,0.000001,0.001181,0.014317,0.001246,0.000001,0.321097
